iter	RMSE
0	89352.98872
1	89043.8139
2	88793.12948
3	88529.93468
4	88344.8853
5	88186.39111
6	88184.50458
7	88048.94846
8	87925.39251
9	87835.14169
10	87749.65231
11	87678.73675
12	87608.22758
13	87605.62239
14	87554.12991
15	87493.37669
16	87492.95696
17	87443.04925
18	87437.83882
19	87404.30574
20	87403.04969
21	87362.91734
22	87338.54338
23	87338.09185
24	87315.8705
25	87275.58974
26	87228.5172
27	87162.16109
28	87127.90439
29	87096.63206
30	87069.95415
31	87045.98587
32	87017.79674
33	87002.63975
34	87002.52517
35	87002.06857
36	87002.01177
37	86981.55598
38	86962.63993
39	86962.60514
40	86962.17735
41	86953.48683
42	86939.26245
43	86922.81368
44	86922.76477
45	86898.15421
46	86885.30528
47	86866.18013
48	86865.81074
49	86865.37141
50	86865.26545
51	86864.8316
52	86858.33747
53	86858.25588
54	86858.2221
55	86858.21973
56	86858.18329
57	86838.10585
58	86838.10196
59	86838.03623
60	86832.02851
61	86831.96613
62	86831.91481
63	86830.18708
64	86829.99433
65	86829.88575
66	86797.61235
67	86797.1973
68	86790.99287
69	86790.99195
70	86790.85681
71	86785.62037
72	86779.92617
73	86769.15098
74	86769.10029
75	86769.05291
76	86768.99238
77	86766.08493
78	86766.06958
79	86766.03261
80	86765.87279
81	86765.84371
82	86755.59345
83	86755.53326
84	86745.78892
85	86745.74494
86	86745.74325
87	86745.71791
88	86745.71208
89	86745.51363
90	86745.50867
91	86732.60378
92	86732.57484
93	86732.57383
94	86717.93144
95	86713.56178
96	86713.56177
97	86713.5614
98	86713.53252
99	86713.48853
100	86704.88241
101	86695.88583
102	86685.3347
103	86685.3303
104	86685.32945
105	86685.32943
106	86676.88102
107	86669.48929
108	86669.46058
109	86669.43853
110	86668.88059
111	86668.42831
112	86647.18026
113	86646.92229
114	86646.91708
115	86639.72703
116	86639.72266
117	86639.61706
118	86639.58571
119	86639.57894
120	86639.52734
121	86632.69215
122	86632.38104
123	86631.44479
124	86624.94676
125	86618.76833
126	86618.659
127	86612.38547
128	86609.22766
129	86603.45423
130	86603.38055
131	86603.31223
132	86584.55683
133	86579.23286
134	86579.1803
135	86578.35392
136	86578.2901
137	86573.2137
138	86568.40151
139	86563.77687
140	86562.84285
141	86562.78015
142	86562.73589
143	86558.34424
144	86548.69256
145	86544.76157
146	86544.71973
147	86540.98277
148	86540.92277
149	86537.37027
150	86533.9906
151	86533.93452
152	86533.88127
153	86533.84148
154	86533.79088
155	86533.74276
156	86533.70501
157	86533.65943
158	86533.62359
159	86533.5803
160	86530.36986
161	86530.31367
162	86530.28127
163	86530.24118
164	86530.21044
165	86530.17707
166	86527.12505
167	86527.08697
168	86524.18558
169	86524.14939
170	86524.12166
171	86524.06709
172	86524.01661
173	86521.25841
174	86518.63638
175	86518.58962
176	86518.54621
177	86516.05359
178	86513.64961
179	86511.39699
180	86509.25554
181	86509.21521
182	86508.02619
183	86507.83395
184	86495.3612
185	86495.32121
186	86493.23143
187	86491.24485
188	86489.35629
189	86487.56103
190	86487.52403
191	86486.4915
192	86486.45764
193	86484.79423
194	86484.76272
195	86484.73068
196	86483.81072
197	86482.98533
198	86481.4514
199	86481.42372
