iter	Passed	Remaining
0	160	31912
1	182	18044
2	201	13223
3	220	10812
4	240	9370
5	259	8382
6	282	7794
7	305	7340
8	328	6967
9	347	6606
10	370	6359
11	390	6111
12	408	5869
13	428	5692
14	449	5546
15	468	5391
16	489	5267
17	508	5136
18	527	5028
19	546	4916
20	566	4830
21	587	4750
22	607	4673
23	628	4605
24	649	4549
25	668	4476
26	686	4401
27	704	4327
28	724	4272
29	745	4222
30	765	4171
31	784	4116
32	804	4069
33	823	4019
34	842	3970
35	863	3932
36	881	3884
37	900	3840
38	918	3793
39	939	3759
40	962	3731
41	981	3691
42	999	3649
43	1018	3609
44	1036	3569
45	1055	3535
46	1076	3502
47	1096	3471
48	1115	3436
49	1135	3406
50	1158	3384
51	1177	3352
52	1196	3319
53	1216	3288
54	1236	3260
55	1254	3226
56	1276	3203
57	1296	3173
58	1312	3137
59	1332	3109
60	1354	3087
61	1372	3055
62	1392	3027
63	1411	3000
64	1432	2974
65	1452	2948
66	1468	2914
67	1486	2886
68	1504	2856
69	1523	2829
70	1542	2802
71	1560	2774
72	1579	2748
73	1598	2722
74	1617	2696
75	1636	2669
76	1657	2646
77	1678	2625
78	1699	2602
79	1719	2579
80	1738	2554
81	1757	2528
82	1776	2503
83	1796	2480
84	1814	2454
85	1832	2428
86	1849	2401
87	1866	2375
88	1886	2352
89	1905	2328
90	1924	2304
91	1944	2282
92	1963	2259
93	1981	2234
94	1999	2209
95	2018	2186
96	2033	2159
97	2051	2135
98	2069	2111
99	2090	2090
100	2109	2068
101	2128	2044
102	2148	2023
103	2168	2001
104	2187	1979
105	2207	1957
106	2228	1936
107	2247	1914
108	2269	1894
109	2290	1873
110	2310	1852
111	2331	1832
112	2349	1808
113	2368	1786
114	2386	1763
115	2408	1743
116	2429	1723
117	2449	1701
118	2469	1680
119	2490	1660
120	2510	1638
121	2529	1617
122	2548	1595
123	2570	1575
124	2590	1554
125	2609	1532
126	2627	1510
127	2647	1489
128	2666	1467
129	2690	1448
130	2712	1428
131	2735	1409
132	2752	1386
133	2770	1364
134	2791	1344
135	2811	1323
136	2832	1302
137	2852	1281
138	2871	1259
139	2888	1238
140	2911	1218
141	2933	1198
142	2954	1177
143	2974	1156
144	2993	1135
145	3013	1114
146	3034	1093
147	3055	1073
148	3075	1052
149	3094	1031
150	3113	1010
151	3135	990
152	3155	969
153	3176	948
154	3198	928
155	3220	908
156	3241	887
157	3262	867
158	3284	846
159	3306	826
160	3326	805
161	3349	785
162	3369	764
163	3390	744
164	3411	723
165	3432	702
166	3451	682
167	3471	661
168	3489	640
169	3510	619
170	3530	598
171	3550	578
172	3571	557
173	3591	536
174	3609	515
175	3629	494
176	3650	474
177	3668	453
178	3685	432
179	3704	411
180	3722	390
181	3743	370
182	3762	349
183	3782	328
184	3800	308
185	3821	287
186	3840	266
187	3859	246
188	3879	225
189	3895	205
190	3917	184
191	3937	164
192	3958	143
193	3978	123
194	4000	102
195	4022	82
196	4046	61
197	4067	41
198	4086	20
199	4108	0
